Month,Hour,DayOfWeek,Holiday,Temperature,Humidity,SquareFootage,Occupancy,HVACUsage,LightingUsage,RenewableEnergy,EnergyConsumption
11.388658186752687,9.724719825257774,Tuesday,No,29.721696231176175,45.97404113063901,1263.4797393252181,9.0,Off,Off,19.612641583324383,98.35187171602097
9.437591471115542,21.424232123897774,Wednesday,No,27.39242879537975,44.84990211081016,1447.0948795826655,4.431739898867812,On,Off,9.99689086376668,81.66711050318834
11.90538678205703,3.537713771282654,Monday,No,25.300676288150285,56.58048123938394,1464.0257111774247,4.797816008614583,On,On,23.57285097821629,85.68329612828536
3.0951339538276685,6.772793670392181,Thursday,Yes,28.163523894888392,55.07473704385177,1658.7146995009573,3.899178731630685,Off,Off,12.058863719230855,76.91143571467163
8.669767722479644,7.314856682625299,Thursday,Yes,27.511821734806947,56.87675890468949,1000.5126606747408,6.551560324663897,Off,On,26.81365238050581,73.64292203372032
6.879539188048621,3.559892311819871,Tuesday,No,29.744976956044543,35.02270491525464,1992.4488600195868,1.4676206959119662,Off,On,11.097445383765217,69.70710032300497
12.0,7.4170930605629835,Tuesday,Yes,22.880604174696856,59.969085,1289.9592524985885,7.737564660913527,On,Off,22.61847086626587,64.8920122179328
1.0,4.0,Tuesday,No,24.175776484229303,41.80015037049925,1198.62522424261,6.0,Off,Off,18.470624103976128,69.36574478049252
12.0,0.0,Saturday,Yes,24.270275294816923,42.80971660912388,1950.175942108002,6.077197551850816,Off,Off,10.003294144975271,56.958843398247986
4.772764509419225,0.0,Sunday,No,27.249103705115694,46.15335279974642,1960.7512567362655,7.282366857166686,On,On,0.006642,79.80244920067291
1.4078829724610995,4.209849648257438,Monday,No,23.8466721041009,45.79030492006298,1848.9712971814074,7.186841570201429,Off,On,4.879958625899198,72.89875264985115
6.459065242003148,22.17902816397672,Saturday,Yes,23.240918055884503,59.969085,1514.4291609014454,5.436193828249182,On,On,29.96532733777335,83.34898095368288
